title,url,writers
10 Things I Hate About You,https://imsdb.com/genre/Romance/Movie Scripts/10 Things I Hate About You Script.html,"Karen McCullah Lutz, Kirsten Smith, William Shakespeare"
12,https://imsdb.com/genre/Comedy/Movie s/12 .html,Lawrence Bridges
17 Again ,https://imsdb.com/genre/Comedy/Movie s/17 Again .html,Jason Filardi
30 Minutes or Less ,https://imsdb.com/genre/Comedy/Movie s/30 Minutes or Less .html,"Michael Diliberti, Matthew Sullivan"
48 Hrs. ,https://imsdb.com/genre/Comedy/Movie s/48 Hrs. .html,"Steven E. De Souza, Walter Hill, Roger Spottiswoode, Larry Gross, Jeb Stuart"
50-50 ,https://imsdb.com/genre/Comedy/Movie s/50-50 .html,Will Reiser
500 Days of Summer,https://imsdb.com/genre/Romance/Movie Scripts/500 Days of Summer Script.html,"Scott Neustadter, Michael H. Weber"
A Serious Man ,https://imsdb.com/genre/Comedy/Movie s/A Serious Man .html,"Joel Coen, Ethan Coen"
Ace Ventura: Pet Detective ,https://imsdb.com/genre/Comedy/Movie s/Ace Ventura: Pet Detective .html,"Jack Bernstein, Tom Shadyac, Jim Carrey"
Adaptation ,https://imsdb.com/genre/Comedy/Movie s/Adaptation .html,"Charlie Kaufman, Donald Kaufman"
"Addams Family, The ","https://imsdb.com/genre/Comedy/Movie s/Addams Family, The .html","Charles Addams, Caroline Thompson"
"Adjustment Bureau, The","https://imsdb.com/genre/Romance/Movie Scripts/Adjustment Bureau, The Script.html","George Nolfi, Philip K Dick"
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The","https://imsdb.com/genre/Romance/Movie Scripts/Adventures of Buckaroo Banzai Across the Eighth Dimension, The Script.html",Earl Mac Rauch
After School Special ,https://imsdb.com/genre/Comedy/Movie s/After School Special .html,David H. Steinberg
Airplane,https://imsdb.com/genre/Romance/Movie Scripts/Airplane Script.html,"Jim Abrahams,  David Zucker, Jerry Zucker"
Airplane 2: The Sequel ,https://imsdb.com/genre/Comedy/Movie s/Airplane 2: The Sequel .html,Ken Finkleman
Aladdin ,https://imsdb.com/genre/Comedy/Movie s/Aladdin .html,"Roger Allers, Ron Clements"
All About Steve ,https://imsdb.com/genre/Comedy/Movie s/All About Steve .html,Kim Barker
Almost Famous,https://imsdb.com/genre/Romance/Movie Scripts/Almost Famous Script.html,Cameron Crowe
American Graffiti ,https://imsdb.com/genre/Comedy/Movie s/American Graffiti .html,"George Lucas, Gloria Katz, Willard Huyck"
American Milkshake ,https://imsdb.com/genre/Comedy/Movie s/American Milkshake .html,"David Andalman, Mariko Munro"
American Outlaws ,https://imsdb.com/genre/Comedy/Movie s/American Outlaws .html,"Roderick Taylor, John Rogers"
American Pie ,https://imsdb.com/genre/Comedy/Movie s/American Pie .html,Adam Herz
"American President, The","https://imsdb.com/genre/Romance/Movie Scripts/American President, The Script.html",Aaron Sorkin
American Splendor ,https://imsdb.com/genre/Comedy/Movie s/American Splendor .html,"Robert Pulcini, Shari Springer Berman"
American Werewolf in London,https://imsdb.com/genre/Romance/Movie Scripts/American Werewolf in London Script.html,John Landis
Amour,https://imsdb.com/genre/Romance/Movie Scripts/Amour Script.html,Michael Haneke
Analyze That ,https://imsdb.com/genre/Comedy/Movie s/Analyze That .html,"Peter Steinfeld, Harold Ramis, Peter Tolan, Kenneth Longeran"
Analyze This ,https://imsdb.com/genre/Comedy/Movie s/Analyze This .html,"Peter Tolan, Harold Ramis, Kenneth Lonergan"
Angel Eyes,https://imsdb.com/genre/Romance/Movie Scripts/Angel Eyes Script.html,Gerald DiPego
Annie Hall,https://imsdb.com/genre/Romance/Movie Scripts/Annie Hall Script.html,"Woody Allen, Marshall Brickman"
Antz ,https://imsdb.com/genre/Comedy/Movie s/Antz .html,"Todd Alcott, Chris Weitz, Paul Weitz"
"Apartment, The ","https://imsdb.com/genre/Comedy/Movie s/Apartment, The .html","Billy Wilder, I.A.L Diamond"
April Fool's Day ,https://imsdb.com/genre/Comedy/Movie s/April Fool's Day .html,Danilo Bach
Army of Darkness ,https://imsdb.com/genre/Comedy/Movie s/Army of Darkness .html,"Sam Raimi, Ivan Raimi"
Arsenic and Old Lace ,https://imsdb.com/genre/Comedy/Movie s/Arsenic and Old Lace .html,"Julius J. Epstein, Philip G. Epstein, Joseph Kesselring"
Arthur ,https://imsdb.com/genre/Comedy/Movie s/Arthur .html,Peter Baynham
"Artist, The","https://imsdb.com/genre/Romance/Movie Scripts/Artist, The Script.html",Michel Hazanavicius
As Good As It Gets,https://imsdb.com/genre/Romance/Movie Scripts/As Good As It Gets Script.html,"Mark Andrus, James L. Brooks"
